id,first_name,last_name,email,state,ip_address,customer_id,survey_date,proto_purchasedate,amountspent,annual_income,gender,satisfaction,satisfaction_oe,selfrun,runtrack,selfcycle,cycletrack,community,portal,setup,oneupdate,agerange
46,Jeffrey,Thomas,jthomas19@hostgator.com,Georgia,223.204.66.168,10509,12/8/14,11/6/14,$178.22 ,"$100,000-$124,999",M,7,Didn't use this as much as I thought I would,0,0,5,4,0,4,9,Comfort,45 years old or older
47,Jimmy,Alvarez,jalvarez1a@redcross.org,North Carolina,213.153.107.58,,12/2/14,4/23/14,$170.89 ,"$100,000-$124,999",M,8,Loved tracking my stride and heart rate.,2,1,2,1,3,3,9,Comfort,45 years old or older
48,Jack,Gomez,jgomez1b@moonfruit.com,Georgia,122.52.245.121,,12/5/14,4/13/14,$142.13 ,"$25,000-$49,999",M,8,"Nice shoe, helped improve my run",4,3,4,3,2,5,9,Price,Under 24 years old
49,John,Murray,jmurray1c@statcounter.com,Kentucky,93.248.47.34,,12/10/14,2/15/14,$170.44 ,"$100,000-$124,999",M,9,Wish the setup was easier but loved tracking my running time. ,4,3,1,0,3,4,8,Performance,Under 24 years old
50,Debra,Carr,dcarr1d@purevolume.com,Maryland,195.19.131.236,,11/26/14,8/12/14,$165.12 ,"$75,000-$99,999",F,10,Loved using the portal to track my time against others. The community aspect was great.,3,3,0,0,5,2,9,Style,45 years old or older
51,Mary,Bennett,mbennett1e@hubpages.com,Tennessee,97.16.48.205,,11/26/14,7/19/14,$143.48 ,"$25,000-$49,999",F,7,Great shoe for cyclists and runners,3,3,0,0,5,2,8,Price,24-44 years old
52,Wayne,West,wwest1f@aboutads.info,North Carolina,60.102.244.184,,11/27/14,1/23/14,$179.40 ,"$100,000-$124,999",M,5,Just meh,3,2,4,3,1,5,6,Comfort,45 years old or older
53,Jean,White,jwhite1g@alexa.com,California,79.146.75.169,,12/7/14,6/11/14,$134.85 ,"$25,000-$49,999",F,10,Such a big improvement over my other shoe,4,3,3,2,3,5,9,Price,24-44 years old
54,Joe,Simmons,jsimmons1h@telegraph.co.uk,Georgia,26.85.145.99,,12/7/14,9/16/14,$145.60 ,"$25,000-$49,999",M,9,Shoe was comfortable and I think this helped improve my time,3,2,2,1,4,4,8,Comfort,Under 24 years old
55,Brandon,Butler,bbutler1i@blogs.com,West Virginia,143.26.165.225,10317,12/7/14,8/3/14,$180.34 ,"$100,000-$124,999",M,0,Cost too much,3,2,3,2,0,5,0,Comfort,45 years old or older
56,Judith,Hicks,jhicks1j@nba.com,Michigan,164.250.66.49,,11/26/14,4/19/14,$151.05 ,"$25,000-$49,999",F,8,Such a great shoe for runners,3,2,4,3,0,5,10,Style,Under 24 years old
57,Brandon,Palmer,bpalmer1k@foxnews.com,North Carolina,66.199.146.244,10008,12/5/14,11/7/14,$166.80 ,"$50,000-$74,999",M,6,Loved being able to track my route and heartrate.,1,1,3,2,1,3,7,Comfort,45 years old or older
58,Sarah,Bishop,sbishop1l@digg.com,Louisiana,170.113.34.150,,12/2/14,10/25/14,$176.80 ,"$100,000-$124,999",F,10,Loved tracking my stride and heart rate.,4,3,3,2,4,5,8,Comfort,Under 24 years old
59,Maria,West,mwest1m@netscape.com,Nebraska,149.124.83.100,10154,12/1/14,5/21/14,$160.19 ,"$25,000-$49,999",F,7,Loved tracking my stride and heart rate.,3,2,1,0,1,3,8,Style,Under 24 years old
60,Rachel,Ross,rross1n@guardian.co.uk,New York,91.1.27.183,,12/6/14,10/11/14,$153.94 ,"$25,000-$49,999",F,9,Cute shoe!,3,2,4,3,4,5,9,Style,Under 24 years old
61,Mildred,Butler,mbutler1o@cargocollective.com,Michigan,196.53.206.205,,12/2/14,6/10/14,$161.00 ,"$75,000-$99,999",F,9,Wish the setup was easier but loved tracking my running time. ,4,4,1,0,2,4,9,Performance,24-44 years old
62,Terry,Dunn,tdunn1p@walmart.com,Michigan,23.134.238.56,10390,12/4/14,2/21/14,$167.67 ,"$50,000-$74,999",M,0,Couldn't get portal to work,2,1,2,1,5,3,0,Style,24-44 years old
63,Douglas,Roberts,droberts1q@merriam-webster.com,Florida,89.49.193.165,,11/24/14,7/1/14,$155.32 ,"$25,000-$49,999",M,10,Such a great shoe for runners,3,2,4,3,2,5,9,Price,24-44 years old
64,Dorothy,Morrison,dmorrison1r@acquirethisname.com,Minnesota,237.143.103.70,10462,11/24/14,9/24/14,$176.22 ,"$100,000-$124,999",F,10,Such a big improvement over my other shoe,4,3,3,2,4,5,9,Comfort,Under 24 years old
65,Peter,Harrison,pharrison1s@google.com.br,Pennsylvania,18.253.189.178,10165,12/1/14,8/11/14,$167.07 ,"$50,000-$74,999",M,5,Hard to track running route - not accurate,2,2,3,2,0,4,6,Comfort,45 years old or older
66,Bonnie,Williams,bwilliams1t@flavors.me,District of Columbia,199.227.225.44,10133,12/3/14,1/12/14,$130.04 ,"0-$24,999",F,8,User community was the best part,3,3,1,0,3,3,7,Price,Under 24 years old
67,Patricia,Hansen,phansen1u@infoseek.co.jp,New Jersey,222.67.103.205,10267,11/28/14,1/25/14,$142.29 ,"$50,000-$74,999",F,8,Cute shoe!,5,5,4,3,2,5,9,Performance,24-44 years old
68,Angela,Nelson,anelson1v@netvibes.com,Kansas,185.162.130.186,,12/1/14,8/17/14,$141.94 ,"$25,000-$49,999",F,7,The community was great,3,3,0,0,5,2,8,Style,Under 24 years old
69,Linda,Morales,lmorales1w@vistaprint.com,New Jersey,225.172.175.48,,12/4/14,10/24/14,$133.91 ,"$50,000-$74,999",F,8,Great shoe for cyclists and runners,2,2,0,0,2,1,9,Price,Under 24 years old
70,Fred,King,fking1x@infoseek.co.jp,South Carolina,135.130.114.143,,11/26/14,6/9/14,$183.51 ,"$50,000-$74,999",M,9,Great tool for runners,4,3,0,0,3,3,9,Performance,24-44 years old
71,Tina,Carpenter,tcarpenter1y@amazon.co.uk,Florida,64.2127.111,10515,12/10/14,2/2/14,$145.60 ,"$25,000-$49,999",F,8,Comfortable shoe - loved tracking my running route. Easy to use.,3,2,0,0,2,2,9,Comfort,45 years old or older
72,Ann,Jackson,ajackson1z@4shared.com,Georgia,19.174.251.88,10330,12/9/14,2/9/14,$182.63 ,"$50,000-$74,999",F,8,Easy to use and loved the portal.,3,2,0,0,5,2,9,Performance,Under 24 years old
73,Sarah,Moreno,smoreno20@java.com,Virginia,242.1229.147,,11/21/14,4/25/14,$185.11 ,"$100,000-$124,999",F,5,Want a more stylish shoe,3,2,4,3,2,5,6,Style,24-44 years old
74,Patrick,Castillo,pcastillo21@weibo.com,Washington,205.129.110.102,,11/24/14,5/6/14,$170.17 ,"$100,000-$124,999",M,9,Such a great shoe for runners,4,3,2,1,3,5,9,Performance,Under 24 years old
75,Michelle,Reed,mreed22@google.fr,California,255.127.158.250,10142,11/29/14,10/6/14,$165.96 ,"$75,000-$99,999",F,8,Cute shoe!,4,4,1,0,1,4,9,Performance,24-44 years old
76,Victor,Ramos,vramos23@artisteer.com,California,169.50.63.234,,12/2/14,6/14/14,$171.86 ,"$100,000-$124,999",M,9,Such a big improvement over my other shoe,4,3,1,0,4,4,8,Performance,Under 24 years old
77,Robin,Duncan,rduncan24@ehow.com,New York,220.170.28.64,10184,12/1/14,3/6/14,$132.77 ,"$25,000-$49,999",F,10,Easy to use and loved the portal.,4,3,1,0,2,4,8,Comfort,45 years old or older
78,Pamela,Welch,pwelch25@youtu.be,Texas,219.133.229.58,10127,12/4/14,2/12/14,$155.96 ,"$50,000-$74,999",F,7,Wish I could track calories burned.,4,4,1,0,0,4,9,Performance,24-44 years old
79,Anna,Jordan,ajordan26@plala.or.jp,Connecticut,34.186.40.75,,11/25/14,5/3/14,$167.47 ,"$50,000-$74,999",F,10,Shoe was comfortable and I think this helped improve my time,3,3,0,0,1,2,9,Style,24-44 years old
80,Gloria,Moore,gmoore27@feedburner.com,Missouri,151.70.198.113,,11/28/14,9/24/14,$168.40 ,"$100,000-$124,999",F,7,Wish setup was easier but really liked the features of the shoe.,4,4,3,2,4,5,8,Performance,Under 24 years old
81,Jesse,Carroll,jcarroll28@booking.com,North Carolina,241.203.109.8,,11/25/14,11/9/14,$166.89 ,"$50,000-$74,999",M,9,Loved tracking my runs against others,3,2,2,1,4,4,10,Comfort,Under 24 years old
82,Aaron,Gonzalez,agonzalez29@mayoclinic.com,California,202.99.197.78,,12/10/14,7/10/14,$166.05 ,"$75,000-$99,999",M,7,Great tool for runners,5,5,2,1,3,5,8,Performance,45 years old or older
83,Frank,Morales,fmorales2a@bbc.co.uk,California,179.107.121.24,,12/10/14,2/15/14,$136.57 ,"$25,000-$49,999",M,9,Loved using the portal to track my time against others. The community aspect was great.,5,4,3,2,1,5,9,Performance,Under 24 years old
84,Joan,Porter,jporter2b@drupal.org,Kentucky,204.164.53.65,10175,12/10/14,5/23/14,$153.69 ,"$25,000-$49,999",F,8,Top quality,2,1,0,0,0,1,9,Comfort,45 years old or older
85,Rachel,Allen,rallen2c@cdbaby.com,Kentucky,234.211.96.212,,12/8/14,6/16/14,$163.37 ,"$75,000-$99,999",F,7,Great shoe for cyclists and runners,3,2,2,1,3,4,8,Comfort,45 years old or older
86,Kenneth,Barnes,kbarnes2d@newyorker.com,Maryland,207.151.149.127,10073,12/9/14,5/24/14,$142.44 ,"$25,000-$49,999",M,6,Want more colors to choose from,4,4,0,0,0,3,7,Price,24-44 years old
87,Robin,Martinez,rmartinez2e@last.fm,North Carolina,240.177.146.102,,12/8/14,3/2/14,$140.31 ,"$25,000-$49,999",F,6,Loved being able to track my route and heartrate.,4,4,1,0,5,4,7,Performance,Under 24 years old
88,Eugene,Coleman,ecoleman2f@accuweather.com,New York,21.182.49.172,,11/22/14,3/22/14,$133.36 ,"$25,000-$49,999",M,3,Couldn't get portal to work,0,0,2,3,2,2,2,Comfort,24-44 years old
89,Howard,Jackson,hjackson2g@amazon.de,Florida,114.39.57.142,10291,11/24/14,3/15/14,$142.84 ,"$25,000-$49,999",M,9,Wish the setup was easier but loved tracking my running time. ,3,2,0,0,5,2,9,Style,Under 24 years old
90,Aaron,Freeman,afreeman2h@nhs.uk,Florida,233.200.112.146,,11/27/14,10/4/14,$152.65 ,"$25,000-$49,999",M,9,Great tool for runners,3,3,4,3,4,5,9,Comfort,45 years old or older
91,Thomas,Alexander,talexander2i@blogger.com,Washington,52.77.37.1,10064,12/7/14,8/29/14,$166.22 ,"$75,000-$99,999",M,8,Loved tracking my stride and heart rate.,4,4,1,0,5,4,9,Performance,45 years old or older
92,Johnny,Mills,jmills2j@123-reg.co.uk,North Carolina,18.229.64.60,,11/20/14,9/10/14,$186.60 ,"$125,000 or more",M,8,Such a great shoe for runners,3,2,1,0,2,3,8,Style,45 years old or older
93,Norma,Day,nday2k@yolasite.com,Iowa,143.173.79.229,,12/2/14,5/24/14,$156.24 ,"$50,000-$74,999",F,9,Loved tracking my stride and heart rate.,4,4,2,1,1,5,9,Performance,24-44 years old
94,Scott,Porter,sporter2l@usa.gov,Florida,31.218.99.199,10424,11/30/14,11/15/14,$167.55 ,"$50,000-$74,999",M,10,Such a great shoe for runners,4,3,0,0,2,3,8,Performance,24-44 years old
95,Mildred,Long,mlong2m@businessweek.com,Illinois,132.146.252.15,,12/8/14,3/19/14,$129.38 ,"0-$24,999",F,7,Wish different colors were available.,4,4,2,1,3,5,9,Price,Under 24 years old
96,Frank,Jackson,fjackson2n@nifty.com,South Dakota,143.186.26.101,10517,11/23/14,9/7/14,$164.90 ,"$75,000-$99,999",M,8,Good quality,2,1,2,1,3,3,10,Comfort,45 years old or older
97,Craig,Graham,cgraham2o@hhs.gov,Oklahoma,110.124.65.174,,11/22/14,5/9/14,$182.54 ,"$50,000-$74,999",M,9,Comfortable shoe - loved tracking my running route. Easy to use.,3,2,2,1,2,4,9,Comfort,Under 24 years old
98,Jonathan,Stone,jstone2p@ocn.ne.jp,Kansas,94.34.242.161,,11/26/14,9/17/14,$160.71 ,"$75,000-$99,999",M,6,Heart rate monitor didn't work but liked using the portal.,4,4,4,3,4,5,7,Style,45 years old or older
99,Jose,Phillips,jphillips2q@dmoz.org,New York,150.243.79.155,,11/29/14,6/26/14,$139.68 ,"$25,000-$49,999",M,8,Such a great shoe for runners,3,3,0,0,2,2,9,Price,24-44 years old
100,Jack,Watkins,jwatkins2r@pcworld.com,Illinois,248.62.86.152,10471,11/20/14,9/10/14,$143.27 ,"$25,000-$49,999",M,9,Shoe was comfortable and I think this helped improve my time,2,2,0,0,3,1,9,Price,24-44 years old
101,Paul,Diaz,pdiaz2s@state.gov,Arizona,18.4.151.111,,11/21/14,2/3/14,$166.21 ,"$75,000-$99,999",M,8,Shoe was comfortable and I think this helped improve my time,4,4,1,0,0,4,8,Performance,45 years old or older
102,Tina,Myers,tmyers2t@people.com.cn,California,205.249.132.141,,12/8/14,9/4/14,$140.41 ,"$25,000-$49,999",F,8,Loved tracking my stride and heart rate.,4,3,3,2,4,5,9,Price,24-44 years old
103,Jerry,Sims,jsims2u@multiply.com,Massachusetts,136.229.152.226,,11/26/14,4/14/14,$167.74 ,"$50,000-$74,999",M,9,Such a great shoe for runners,4,3,1,0,5,4,8,Performance,24-44 years old
104,Billy,Ramos,bramos2v@wordpress.org,Florida,51.2.4.223,10246,12/3/14,4/26/14,$181.96 ,"$125,000 or more",M,7,Loved tracking my stride and heart rate.,2,1,5,4,1,5,9,Comfort,24-44 years old
105,Jessica,Knight,jknight2w@mtv.com,Washington,172.164.162.83,,11/24/14,10/9/14,$183.93 ,"$50,000-$74,999",F,4,Not worth the money,4,3,2,1,2,5,5,Price,Under 24 years old
106,Randy,Ross,rross2x@i2i.jp,Alabama,238.155.213.117,,12/10/14,6/14/14,$131.73 ,"$25,000-$49,999",M,0,Didn't accurately track my route,2,1,0,2,0,2,0,Price,Under 24 years old
107,Janice,Kelly,jkelly2y@dell.com,New York,236.50.61.68,10097,11/22/14,11/4/14,$131.54 ,"$25,000-$49,999",F,10,Great for runners!,4,3,1,0,2,4,10,Performance,Under 24 years old
108,Julia,Thomas,jthomas2z@istockphoto.com,Utah,139.95.203.141,10044,11/29/14,8/9/14,"$1,828.00 ","$50,000-$74,999",F,7,Fantastic shoe! Helped me improve my running time and track my runs.,2,1,0,0,1,1,8,Style,24-44 years old
109,Patrick,Gordon,pgordon30@bizjournals.com,Colorado,123.215.148.8,10042,12/8/14,7/12/14,$156.96 ,"$50,000-$74,999",M,7,Shoe felt good on my foot but fell apart quickly.,3,3,1,0,0,3,8,Price,Under 24 years old
110,Sarah,Lewis,slewis31@domainmarket.com,Texas,63.229.1228,,11/23/14,2/22/14,$167.35 ,"$50,000-$74,999",F,9,Such a big improvement over my other shoe,4,3,0,0,2,3,9,Performance,24-44 years old
111,Sandra,Harvey,sharvey32@noaa.gov,Florida,114.164.84.144,10335,12/6/14,10/19/14,$129.06 ,"$25,000-$49,999",F,6,Running route wasn't accurately tracked,2,2,4,3,2,5,5,Price,Under 24 years old
112,Anna,Lynch,alynch33@devhub.com,South Carolina,39.57.85.171,10303,11/28/14,8/29/14,$134.96 ,"$25,000-$49,999",F,9,Shoe was comfortable and I think this helped improve my time,5,5,4,3,2,5,8,Performance,Under 24 years old
113,Jean,Carroll,jcarroll34@mozilla.com,North Carolina,185.67.119.13,,12/9/14,8/10/14,$163.07 ,"$75,000-$99,999",F,9,Such a big improvement over my other shoe,5,4,4,3,2,5,9,Performance,45 years old or older
114,Lawrence,Gibson,lgibson35@home.pl,Minnesota,188.185.122.95,10477,11/27/14,6/7/14,$157.29 ,"$50,000-$74,999",M,7,Liked it - didn't love it,2,1,1,0,1,2,7,Comfort,Under 24 years old
115,Arthur,Lawson,alawson36@cdbaby.com,Arkansas,124.73.112,,11/22/14,11/12/14,$142.00 ,"$50,000-$74,999",M,8,Great shoe for cyclists and runners,5,5,4,3,2,5,9,Price,Under 24 years old
116,George,Roberts,groberts37@hibu.com,Pennsylvania,104.185.87.171,,11/24/14,5/12/14,$132.17 ,"$25,000-$49,999",M,8,Helped me train for a marathon,3,3,2,1,4,4,9,Price,24-44 years old
117,Lori,Gordon,lgordon38@pinterest.com,California,18.33.156.10,10357,12/8/14,3/14/14,$133.80 ,"$50,000-$74,999",F,8,Comfortable shoe - loved tracking my running route. Easy to use.,3,3,0,0,2,2,9,Price,Under 24 years old
118,Denise,Alvarez,dalvarez39@php.net,Tennessee,48.192.158.61,,11/30/14,9/4/14,$185.43 ,"$50,000-$74,999",F,9,Loved using the portal to track my time against others. The community aspect was great.,3,2,0,0,3,2,9,Performance,Under 24 years old
119,Sean,Mills,smills3a@newsvine.com,California,50.237.226.130,10500,12/8/14,9/12/14,$156.54 ,"$50,000-$74,999",M,8,Easy to use and loved the portal.,4,3,2,1,3,5,9,Performance,45 years old or older
120,Betty,Shaw,bshaw3b@microsoft.com,Indiana,55.90.194.44,10492,11/25/14,6/30/14,$142.78 ,"$25,000-$49,999",F,9,Fantastic shoe! Helped me improve my running time and track my runs.,4,3,0,0,5,3,9,Price,24-44 years old
121,Anthony,Freeman,afreeman3c@tripadvisor.com,California,249.42.125.158,10447,11/24/14,6/22/14,$184.20 ,"$50,000-$74,999",M,9,Such a great shoe for runners,5,5,4,3,2,5,8,Performance,24-44 years old
122,Johnny,Carr,jcarr3d@netvibes.com,Pennsylvania,252.86.3.16,,11/28/14,11/16/14,$173.97 ,"$100,000-$124,999",M,8,Loved tracking my stride and heart rate.,4,3,2,1,5,5,9,Performance,Under 24 years old
